PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEnergyUse(kBtu),ElectricityProp,SteamProp,GasProp,Age,BuildingArea,ParkingArea,LargestUsedArea,SecondLargestUsedArea
Warehouse,BALLARD,1.0,42500,Non-Refrigerated Warehouse,Retail Store,241478.5938,0.9999975409828645,0.0,0.0,89,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,BALLARD,1.0,23032,Office,Restaurant,1121537.75,0.9999993312752959,0.0,0.0,115,1.0,0.0,0.6273011462313304,0.2301146231330323
Other,BALLARD,1.0,45750,Other,Parking,7240274.0,0.24164955635656882,0.0,0.7583503055271112,116,0.8925901639344263,0.10740983606557378,0.9366120218579235,0.0633879781420765
Small and Mid-Sized Office,BALLARD,1.0,23500,Office,NONE,1686405.0,0.7074125136014184,0.0,0.2925874863985816,48,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,BALLARD,1.0,22282,Office,NONE,579888.3125,0.5282017129807216,0.0,0.47179774812240244,50,1.0,0.0,1.0,0.0
Self-Storage Facility,BALLARD,1.0,24000,Self-Storage Facility,NONE,502898.6875,0.40166937202436026,0.0,0.5983312493731653,114,1.0,0.0,1.0,0.0
Mixed Use Property,BALLARD,1.0,27085,Strip Mall,Office,1995131.75,0.4920166299794487,0.0,0.5079834953255593,107,1.0,0.0,0.3507476462986893,0.302602916743585
Other,NORTH,0.0,29258,Other - Recreation,Fitness Center/Health Club/Gym,8086943.5,0.3225671108002671,0.0,0.6774328273716763,20,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,NORTH,1.0,37500,Office,NONE,2235765.5,0.7220148982529697,0.0,0.2779848781099807,85,1.0,0.0,1.0,0.0
K-12 School,NORTHWEST,1.0,23983,K-12 School,NONE,1164364.75,0.5316186358269606,0.0,0.46838157888239057,86,1.0,0.0,1.0,0.0
Distribution Center,DELRIDGE,1.0,24100,Distribution Center,Non-Refrigerated Warehouse,809870.8125,0.3352497655297338,0.0,0.6647504659886727,36,1.0,0.0,0.8340248962655602,0.14522821576763487
K-12 School,NORTHEAST,3.0,31343,K-12 School,NONE,3846501.25,0.426136609210773,0.0,0.5738633257950976,12,1.0,0.0,1.0,0.0
Mixed Use Property,NORTHWEST,1.0,55912,Parking,Office,2450442.75,1.0,0.0,0.0,20,0.5913220775504364,0.4086779224495636,0.4301759908427529,0.42032121905852055
